Date,reported_I,incidence_conbined_intervention_I,incidence_conbined_intervention_I_up,incidence_conbined_intervention_I_down,incidence_simulation_I,incidence_simulation_I_up,incidence_simulation_I_down
2020-06-04,2,2.0,2.0,2.0,2.0,2.0,2.0
2020-06-05,3,9.114658360153637,10.434766537366345,7.92107252796617,9.114658360153637,10.434766537366345,7.92107252796617
2020-06-06,5,7.271247619864601,7.930916848156948,6.59977827037592,7.271247619864601,7.930916848156948,6.59977827037592
2020-06-07,15,7.858236949559621,8.620569022359653,7.12937923981518,7.858236949559621,8.620569022359653,7.12937923981518
2020-06-08,25,9.177353611313903,10.15215316823023,8.274923429151526,9.177353611313903,10.15215316823023,8.274923429151526
2020-06-09,40,10.843571921798063,12.08157444728884,9.711617144252704,10.843571921798063,12.08157444728884,9.711617144252704
2020-06-10,55,13.771158044951045,15.539289246490107,12.186609814150431,13.771158044951045,15.539289246490107,12.186609814150431
2020-06-11,67,17.090613598484047,19.429006082309417,15.031942841516779,17.090613598484047,19.429006082309417,15.031942841516779
2020-06-12,98,20.479861428208824,23.36971749943317,17.924819434157822,20.479861428208824,23.36971749943317,17.924819434157822
2020-06-13,134,23.506912301915058,26.92409553378004,20.506201217909293,23.506912301915058,26.92409553378004,20.506201217909293
2020-06-14,165,26.42563141282143,30.357975228801834,22.97989557468121,26.42563141282143,30.357975228801834,22.97989557468121
2020-06-15,180,25.78432240813912,29.43577440014658,22.551645620412845,25.78432240813912,29.43577440014658,22.551645620412845
2020-06-16,201,23.31799704373419,26.371473110426898,20.562029494629616,23.31799704373419,26.371473110426898,20.562029494629616
2020-06-17,217,21.696715747020924,24.480913821908885,19.183805436658197,21.696715747020924,24.480913821908885,19.183805436658197
2020-06-18,238,19.52247995367592,22.019586689335625,17.280215672251316,19.52247995367592,22.019586689335625,17.280215672251316
2020-06-19,249,16.972045811395915,19.16311521867191,15.031774681551783,16.972045811395915,19.16311521867191,15.031774681551783
2020-06-20,262,14.701045299774261,16.65028929788453,12.922002051134111,14.701045299774261,16.65028929788453,12.922002051134111
2020-06-21,275,12.821338631957925,14.639037225702133,11.144582055388527,12.821338631957925,14.639037225702133,11.144582055388527
2020-06-22,282,10.704418978837639,12.364281544534869,9.146418346641251,10.704418978837639,12.364281544534869,9.146418346641251
2020-06-23,285,8.754276624370299,10.266382747904911,7.338531557708652,9.05781337787731,10.618358073966116,7.603422826174202
2020-06-24,302,7.359427974858621,8.771617541259317,6.063335408977471,8.43148228872721,10.010088194658719,6.975057532732298
2020-06-25,305,6.305210760697072,7.652376977462331,5.102818055740811,8.050961317508765,9.685362076896306,6.570512057451217
2020-06-26,322,5.288270410795613,6.548168902286294,4.186618916819125,7.545999352127429,9.193760819048048,6.064569904963604
2020-06-27,329,4.293042953864937,5.4309867185832505,3.3045144227891847,6.709266095824748,8.318551775440062,5.298984081010748
2020-06-28,329,3.451655311907899,4.479985149132023,2.5801721347774436,5.897805462327839,7.452313257313218,4.574323446979559
2020-06-29,331,2.7586797516055004,3.6846820665063333,2.0004458193381525,5.1652318546579625,6.6553806530936646,3.9272554945109595
2020-06-30,331,2.234346787675687,3.0654909429978385,1.5746905411787933,4.684976323482907,6.135147293328632,3.5015806080068685
2020-07-01,333,1.808021148887592,2.553115098838281,1.2351970543727457,4.241423747760823,5.644377224432251,3.108591971786238
2020-07-02,334,1.4125077466145075,2.065590405271119,0.9288066222975808,3.5575592555044238,4.8443646316175935,2.53549772714503
2020-07-03,334,1.1062796330307507,1.6710587913288055,0.7006516909086005,3.015672675976212,4.203246443423921,2.0881673080064442
2020-07-04,335,0.8657515875585864,1.3516863506310122,0.5270681135717158,2.5500726643311897,3.6423063910576676,1.7164357922143625
2020-07-05,335,0.6701925497963583,1.0850310124170042,0.3917160753559542,2.080862099225124,3.059409962090008,1.3620067701555922
